bm_id,sector_id,value_chain_stage,customer_problem,business_model,marketability_3,timeliness_3,fit_3,evidence_count,notes
BM-001,SEC-001,예방·관리,건강행동 지속의 어려움,건강데이터 기반 코칭 구독,3,3,3,4,가상 동의 데이터와 코칭 서비스 가정
BM-002,SEC-001,운영·서비스,기업의 임직원 건강관리 부담,기업 임직원 웰니스 B2B,3,3,3,3,가상 기업고객 채널 가정
BM-003,SEC-002,운영·서비스,가족의 돌봄 정보 단절,시니어 케어 코디네이션,3,2,3,4,가상 돌봄 파트너 네트워크 가정
BM-004,SEC-002,유통·연계,시니어 서비스 탐색 비용,검증형 시니어 서비스 마켓플레이스,2,3,3,3,가상 공급자 검증 모델
BM-005,SEC-003,운영·서비스,금융 업무 AI 결과의 품질 불확실성,보험 업무 AI 품질검증 SaaS,3,3,3,3,가상 내부 검증 기준 활용
BM-006,SEC-003,데이터·분석,중소기업 위험 신호의 지연,중소기업 리스크 모니터링,2,3,3,2,가상 B2B 데이터 접근 가정
BM-007,SEC-004,상품·제조,개인별 영양 선택의 어려움,개인화 영양 구독,3,2,2,3,가상 제휴 제조사 활용
BM-008,SEC-004,유통·판매,기능성 식품의 신뢰 부족,검증형 기능성 식품 커머스,3,3,2,3,가상 큐레이션·브랜드 모델
BM-009,SEC-005,운영·서비스,예방관리의 불연속,반려동물 예방케어 멤버십,3,3,2,2,가상 병원 제휴 가정
BM-010,SEC-006,운영·서비스,중장년층 맞춤 여행 부족,웰니스 여행 패키지 운영,2,3,2,2,가상 여행사 제휴 가정
BM-011,SEC-007,운영·서비스,고령친화 주거 운영의 복잡성,고령친화 주거 운영 지원,3,2,2,3,가상 운영사 제휴 가정
BM-012,SEC-008,운영·서비스,중장년 커리어 전환 정보 부족,중장년 커리어 전환 멤버십,2,3,2,2,가상 교육 파트너 가정
