opportunity_id,sector,value_chain_stage,business_model,market_size,market_growth,margin_potential,adoption_urgency,regulatory_tailwind,maturity_window,capability_fit,customer_access,execution_feasibility,evidence_count,evidence_quality,notes
OPP-001,스마트 제조,생산,비전검사 AI 구독,4,5,5,5,3,5,5,5,4,4,4,기존 카메라와 생산라인 데이터를 활용하는 월 구독형 품질검사
OPP-002,스마트 제조,서비스,예지보전 SaaS,5,4,5,5,3,5,5,5,4,4,4,센서 시계열 기반 고장 예측과 유지보수 워크플로우 구독
OPP-003,스마트 제조,핵심기술,중소 제조사 데이터 통합 관리,4,4,4,4,3,4,5,5,5,3,3,설비·MES·ERP 데이터를 연결하는 관리형 데이터 서비스
OPP-004,산업 에너지,서비스,공장 에너지 최적화 성과보수,5,5,4,5,5,4,4,5,4,4,4,절감액 일부를 수수료로 받는 에너지 최적화 서비스
OPP-005,산업 에너지,유통,수요반응 자원 중개,4,4,3,4,5,4,3,4,3,3,3,공장 부하를 묶어 수요반응 시장에 참여시키는 중개 모델
OPP-006,배터리 순환경제,서비스,산업용 배터리 상태진단 API,4,5,5,4,5,4,4,3,3,3,4,배터리 잔존가치와 안전상태를 API로 제공
OPP-007,배터리 순환경제,회수·재활용,재사용 배터리 B2B 마켓플레이스,4,4,4,3,4,3,2,2,2,2,3,검증된 재사용 배터리 공급자와 산업 수요자를 연결
OPP-008,물류 자동화,서비스,창고 로봇 RaaS 운영,5,5,4,5,3,4,3,4,2,3,4,로봇을 직접 제조하지 않고 통합·운영을 월 과금
OPP-009,물류 자동화,서비스,산업 물류 경로 최적화 SaaS,4,4,5,4,3,5,4,4,5,3,3,공장과 창고 내부 동선·배차 최적화 구독
OPP-010,산업 안전,생산,작업장 안전 컴퓨터비전 구독,4,5,5,5,5,5,5,5,4,4,4,PPE 착용과 위험행동을 탐지하는 현장별 구독 서비스
